Category,Problem,Frequency_Percentage,Impact_Level
Content Issues,Outdated curriculum,45,High
Content Issues,Theory-heavy without practice,38,High
Content Issues,Poor video/audio quality,42,Medium
Instructor Issues,Unqualified instructors,35,High
Instructor Issues,No instructor interaction,52,High
Platform Issues,Technical difficulties,28,Medium
Platform Issues,Poor user interface,25,Low
Financial Issues,Hidden additional costs,33,High
Financial Issues,No refund policy,29,Medium
Support Issues,Lack of student support,48,High
