产品名称,成熟产品或开发,现有用户,技术要点,功能要点,是否需再订制,需律师参与程度,实施周期预计,公司规模参保人数,技术扩展能力,报价范围,年运维费用,服务器硬件资源
讯飞听见,成熟产品,职场人士、记者律师、老师学生、作家学者等,科大讯飞星火大模型、98%准确率、24种语言转写、多语种翻译,实时录音转文字、AI智能总结、语篇规整、多格式分享、人工精转,支持热词定制，可按需定制,低-中等（主要涉及数据安全协议）,SaaS版本：1-2周；定制版本：1-3个月,科大讯飞：约1.5万人,高（支持API接入、SDK集成、私有化部署）,个人版：18-88元/月；企业版：按需报价,约20-30%产品费用,云端部署，支持私有化部署（8核CPU、16GB RAM起）
腾讯云语音识别,成熟产品,微信、王者荣耀、腾讯视频等大量业务,SAN-M模型、50+语言识别、多方言支持、热词增强,实时语音识别、录音文件识别、一句话识别、声纹识别,支持自学习平台定制,中等（企业级部署需要数据处理协议）,API接入：1-2周；定制模型：2-4个月,腾讯：约11万人,极高（完整PaaS平台）,按调用量计费，具体价格面议,约15-25%产品费用,云端部署为主，支持混合云
阿里云智能语音交互,成熟产品,淘宝、菜鸟、高德等阿里系业务,SAN-M模型、20+方言识别、50+语言支持、中英自由说,录音文件识别、实时语音识别、一句话识别、语音合成,支持深度定制和自学习平台,中等（需要云服务协议和数据处理协议）,标准接入：1-3周；定制开发：2-5个月,阿里巴巴：约25万人,极高（完整云生态）,100万次/1800元起，支持包年包月,约20-30%产品费用,云端部署，支持边缘计算节点
百度语音识别,成熟产品,金融、客服、办公、教育、娱乐等领域,端到端框架、98%准确率、多音色合成、国产化适配,在线识别、离线识别、私有化部署、语音合成,支持私有化定制和垂直领域优化,中-高等（私有化部署需要详细合规审查）,云端接入：1-2周；私有化部署：3-6个月,百度：约4.5万人,高（支持云端、边缘、本地部署）,100万次/2400-4000元，私有化另议,约25-35%产品费用,支持CPU、GPU、国产化服务器
Google Cloud Speech-to-Text,成熟产品,全球企业客户，特别是海外市场,神经网络模型、120+语言、实时流式识别、多通道音频,批量转录、流式转录、说话人识别、亵渎词过滤,支持AutoML定制和适配训练,中等（需要Google Cloud服务协议）,API集成：1-2周；定制模型：1-3个月,Google：约18万人,极高（全球云基础设施）,$0.016-0.078/分钟，有免费额度,约10-20%产品费用,全球云端部署，支持本地部署版本
Microsoft Azure Speech Services,成熟产品,企业客户、政府机构、开发者,神经网络TTS、自定义语音、实时转录、多语言支持,语音转文字、文字转语音、语音翻译、说话人识别,支持自定义神经语音和语音模型,中等（Microsoft企业协议）,标准接入：1-2周；自定义开发：2-4个月,Microsoft：约22万人,极高（Azure云生态）,$1.20/小时起，承诺定价更优惠,约15-25%产品费用,云端+边缘计算，支持本地容器部署
Amazon Transcribe,成熟产品,AWS生态企业客户，媒体、客服等行业,机器学习模型、多语言支持、自动标点、客服优化,批量转录、流式转录、医疗转录、通话分析,支持自定义词汇和语言模型,中等（AWS企业协议和合规要求）,API接入：1周；定制优化：1-2个月,Amazon：约150万人,极高（AWS完整生态）,$0.024-0.0102/分钟，阶梯定价,约10-20%产品费用,全球云端部署，支持边缘推理
IBM Watson Speech to Text,成熟产品,企业客户、政府、金融、医疗行业,神经网络技术、多语言支持、客服域优化、低延迟转录,自动转录、自定义模型、说话人分离、智能格式化,支持声学特征和语言模型定制,中-高等（IBM企业级安全要求）,云端部署：2-3周；本地部署：2-4个月,IBM：约35万人,高（支持公有云、私有云、混合云）,按使用量计费，企业版定制报价,约20-30%产品费用,支持多云部署和本地部署
Rev AI,成熟产品,媒体、教育、企业客服等行业,机器学习算法、语言检测、情感分析、主题检测,异步转录、流式转录、人工后处理、多格式支持,定制化程度有限,低-中等（标准服务协议）,API集成：3-5天；大规模部署：2-4周,Rev公司：约1000人,中等（主要为API服务）,$1.20/音频小时,约10-15%产品费用,云端SaaS服务
Deepgram,成熟产品,开发者、企业、通话分析等领域,端到端深度学习、实时流式处理、高准确率、低延迟,实时转录、批量处理、说话人识别、情感检测,支持模型定制和领域适配,中等（企业服务协议）,API接入：1周；定制开发：4-8周,Deepgram：约200人,高（现代API架构）,按使用量计费，具体价格咨询,约15-20%产品费用,云端部署，支持本地部署
